state,date,year,month,observed,observed_imp,popn,tas,RH
NT,2012-10-01,2012,10,28,28,238728.0,28.01828066516152,52.64420461388829
NT,2012-11-01,2012,11,36,36,238728.0,29.699278643675463,58.64482893119628
NT,2012-12-01,2012,12,5,6,238728.0,29.94625806643787,61.4146260842535
NT,2013-01-01,2013,1,7,7,240107.0,30.021338031970732,64.24844313782326
NT,2013-02-01,2013,2,36,36,240107.0,28.994875944875453,66.13550031659582
NT,2013-03-01,2013,3,89,89,240107.0,28.22582248426186,69.6436789266892
NT,2013-04-01,2013,4,19,19,241722.0,26.777849735833428,58.17459786452721
NT,2013-05-01,2013,5,11,11,241722.0,25.169946579663023,63.71599651150672
NT,2013-06-01,2013,6,8,8,241722.0,22.90720630441137,55.05614895990777
NT,2013-07-01,2013,7,8,8,242301.0,22.087066658156512,52.52768516848329
NT,2013-08-01,2013,8,32,32,242301.0,23.074293457534385,52.02164837997786
NT,2013-09-01,2013,9,70,70,242301.0,26.682151702635,53.014328017409085
NT,2013-10-01,2013,10,57,57,242304.0,28.49671378484525,52.83339642092862
NT,2013-11-01,2013,11,57,57,242304.0,28.893509649610387,60.87517439765504
NT,2013-12-01,2013,12,76,76,242304.0,28.79783943666741,66.2843501945811
NT,2014-01-01,2014,1,98,98,242790.0,28.38131233502439,70.63190342529548
NT,2014-02-01,2014,2,125,125,242790.0,27.38758531610397,73.30810670600019
NT,2014-03-01,2014,3,29,29,242790.0,28.049064967894783,64.31988683219038
NT,2014-04-01,2014,4,29,29,242894.0,27.027405534156937,67.93653975922585
NT,2014-05-01,2014,5,10,10,242894.0,24.9987742294335,63.017664575337626
NT,2014-06-01,2014,6,12,12,242894.0,21.663529303322903,53.00941204644848
NT,2014-07-01,2014,7,31,31,243201.0,21.070677140933885,56.95269775471472
NT,2014-08-01,2014,8,186,186,243201.0,21.17489553253256,43.63793134025504
NT,2014-09-01,2014,9,183,183,243201.0,25.277897957940105,52.85708327463873
NT,2014-10-01,2014,10,64,64,242753.0,28.166765816443917,50.457076202906194
NT,2014-11-01,2014,11,18,18,242753.0,29.742949320303296,56.33359669351324
NT,2014-12-01,2014,12,33,33,242753.0,29.541141805026943,66.54266959610567
NT,2015-01-01,2015,1,23,23,243059.0,27.827822323004145,74.4082029724768
NT,2015-02-01,2015,2,7,7,243059.0,29.011001325142416,65.94272408032265
NT,2015-03-01,2015,3,11,11,243059.0,28.832785442672677,63.17233920454963
NT,2015-04-01,2015,4,17,17,244692.0,26.24733777045052,56.51859325171456
NT,2015-05-01,2015,5,17,17,244692.0,23.6343980332607,53.61535297894004
NT,2015-06-01,2015,6,15,15,244692.0,22.559375624273127,55.22427036291501
NT,2015-07-01,2015,7,42,42,244570.0,21.096974342617106,50.71443735568776
NT,2015-08-01,2015,8,117,117,244570.0,22.51120249291739,53.66734549058492
NT,2015-09-01,2015,9,172,172,244570.0,24.7991462920536,50.66285806411092
NT,2015-10-01,2015,10,126,126,244090.0,28.23141226977046,50.91036816290336
NT,2015-11-01,2015,11,91,91,244090.0,30.251902424342997,55.0285731676333
NT,2015-12-01,2015,12,41,41,244090.0,28.53548808754513,70.37606739815922
NT,2016-01-01,2016,1,33,33,244627.0,29.418515643015905,66.58665732954191
NT,2016-02-01,2016,2,23,23,244627.0,29.614076292960377,65.51370318927847
NT,2016-03-01,2016,3,14,14,244627.0,29.261452522459862,68.63303899930128
NT,2016-04-01,2016,4,27,27,245678.0,28.105073283672247,57.021362291169474
NT,2016-05-01,2016,5,17,17,245678.0,26.03459373546552,65.88671074944978
NT,2016-06-01,2016,6,10,10,245678.0,23.947992379817077,63.27362754457043
NT,2016-07-01,2016,7,35,38,246443.0,21.744710339616496,55.73364230615039
NT,2016-08-01,2016,8,81,81,246443.0,23.19730765922317,53.71845797638921
